MUNICIPIO;QUANTIDADE
220191 Bom Princípio do Piauí;63
220192 Bonfim do Piauí;39
220194 Boqueirão do Piauí;56
220196 Brasileira;73
220198 Brejo do Piauí;41
220200 Buriti dos Lopes;198
220202 Buriti dos Montes;60
220205 Cabeceiras do Piauí;61
220207 Cajazeiras do Piauí;56
220208 Cajueiro da Praia;64
220209 Caldeirão Grande do Piauí;45
220210 Campinas do Piauí;51
220211 Campo Alegre do Fidalgo;34
220213 Campo Grande do Piauí;44
220217 Campo Largo do Piauí;52
220220 Campo Maior;743
220225 Canavieira;46
220230 Canto do Buriti;272
220240 Capitão de Campos;123
220245 Capitão Gervásio Oliveira;37
220250 Caracol;84
220253 Caraúbas do Piauí;51
220255 Caridade do Piauí;48
220260 Castelo do Piauí;175
220265 Caxingó;46
220270 Cocal;260
220271 Cocal de Telha;56
220272 Cocal dos Alves;59
220273 Coivaras;37
220275 Colônia do Gurguéia;71
220277 Colônia do Piauí;69
220280 Conceição do Canindé;59
220285 Coronel José Dias;25
220290 Corrente;296
220300 Cristalândia do Piauí;85
220310 Cristino Castro;111
220320 Curimatá;134
220323 Currais;35
220327 Curral Novo do Piauí;40
220325 Curralinhos;41
220330 Demerval Lobão;169
220335 Dirceu Arcoverde;66
220340 Dom Expedito Lopes;64
220345 Dom Inocêncio;76
220342 Domingos Mourão;35
220350 Elesbão Veloso;180
220360 Eliseu Martins;61
220370 Esperantina;441
220375 Fartura do Piauí;41
220380 Flores do Piauí;53
220385 Floresta do Piauí;20
220390 Floriano;1239
220400 Francinópolis;51
220410 Francisco Ayres;44
220415 Francisco Macedo;32
220420 Francisco Santos;78
220430 Fronteiras;132
220435 Geminiano;42
220440 Gilbués;118
220450 Guadalupe;155
220455 Guaribas;34
220460 Hugo Napoleão;61
220465 Ilha Grande;86
220470 Inhuma;171
220480 Ipiranga do Piauí;90
220490 Isaías Coelho;74
220500 Itainópolis;105
220510 Itaueira;134
220515 Jacobina do Piauí;50
220520 Jaicós;176
220525 Jardim do Mulato;44
220527 Jatobá do Piauí;33
220530 Jerumenha;48
220535 João Costa;33
220540 Joaquim Pires;99
220545 Joca Marques;48
220550 José de Freitas;329
220551 Juazeiro do Piauí;35
220552 Júlio Borges;64
220553 Jurema;44
220555 Lagoa Alegre;60
