MUNICIPIO;QUANTIDADE
171630 Pau D'Arco;69
171650 Pedro Afonso;280
171660 Peixe;224
171665 Pequizeiro;65
171700 Pindorama do Tocantins;53
171720 Piraquê;54
171750 Pium;98
171780 Ponte Alta do Bom Jesus;61
171790 Ponte Alta do Tocantins;108
171800 Porto Alegre do Tocantins;45
171820 Porto Nacional;1535
171830 Praia Norte;87
171840 Presidente Kennedy;52
171845 Pugmil;37
171850 Recursolândia;51
171855 Riachinho;50
171865 Rio da Conceição;50
171870 Rio dos Bois;34
171875 Rio Sono;81
171880 Sampaio;53
171884 Sandolândia;42
171886 Santa Fé do Araguaia;99
171888 Santa Maria do Tocantins;44
171889 Santa Rita do Tocantins;37
171890 Santa Rosa do Tocantins;64
171900 Santa Tereza do Tocantins;47
172000 Santa Terezinha do Tocantins;30
172010 São Bento do Tocantins;64
172015 São Félix do Tocantins;33
172020 São Miguel do Tocantins;124
172025 São Salvador do Tocantins;51
172030 São Sebastião do Tocantins;71
172049 São Valério;60
172065 Silvanópolis;98
172080 Sítio Novo do Tocantins;180
172085 Sucupira;27
172090 Taguatinga;181
172093 Taipas do Tocantins;38
172097 Talismã;55
172110 Tocantínia;123
172120 Tocantinópolis;305
172125 Tupirama;40
172130 Tupiratins;34
172208 Wanderlândia;95
172210 Xambioá;198
210005 Açailândia;1147
210010 Afonso Cunha;84
210015 Água Doce do Maranhão;102
210020 Alcântara;204
210030 Aldeias Altas;198
210040 Altamira do Maranhão;114
210043 Alto Alegre do Maranhão;345
210047 Alto Alegre do Pindaré;326
210050 Alto Parnaíba;171
210055 Amapá do Maranhão;70
210060 Amarante do Maranhão;630
210070 Anajatuba;290
210080 Anapurus;126
210083 Apicum-Açu;121
210087 Araguanã;121
210090 Araioses;310
210095 Arame;226
210100 Arari;284
210110 Axixá;159
210120 Bacabal;1478
210125 Bacabeira;158
210130 Bacuri;174
210135 Bacurituba;66
210140 Balsas;1246
210150 Barão de Grajaú;207
210160 Barra do Corda;1040
210170 Barreirinhas;545
210177 Bela Vista do Maranhão;164
210173 Belágua;108
210180 Benedito Leite;94
210190 Bequimão;172
210193 Bernardo do Mearim;56
210197 Boa Vista do Gurupi;69
210200 Bom Jardim;402
210203 Bom Jesus das Selvas;347
210207 Bom Lugar;101
210210 Brejo;310
210215 Brejo de Areia;74
210220 Buriti;268
210230 Buriti Bravo;205
210232 Buriticupu;711
210235 Buritirana;102
210237 Cachoeira Grande;75
210240 Cajapió;131
210250 Cajari;153
210255 Campestre do Maranhão;126
210260 Cândido Mendes;168
210270 Cantanhede;205
210275 Capinzal do Norte;152
210280 Carolina;252
210290 Carutapera;359
210300 Caxias;3029
210310 Cedral;120
210312 Central do Maranhão;61
210315 Centro do Guilherme;91
210317 Centro Novo do Maranhão;200
210320 Chapadinha;835
210325 Cidelândia;127
210330 Codó;1586
210340 Coelho Neto;651
210350 Colinas;544
210355 Conceição do Lago-Açu;120
210360 Coroatá;949
210370 Cururupu;472
210375 Davinópolis;126
210380 Dom Pedro;268
210390 Duque Bacelar;112
210400 Esperantinópolis;188
210405 Estreito;385
210407 Feira Nova do Maranhão;71
210408 Fernando Falcão;127
210409 Formosa da Serra Negra;152
210410 Fortaleza dos Nogueiras;100
210420 Fortuna;140
210430 Godofredo Viana;100
210440 Gonçalves Dias;155
210450 Governador Archer;84
210455 Governador Edison Lobão;203
210460 Governador Eugênio Barros;137
210462 Governador Luiz Rocha;73
210465 Governador Newton Bello;140
210467 Governador Nunes Freire;286
210470 Graça Aranha;56
210480 Grajaú;749
210490 Guimarães;121
210500 Humberto de Campos;236
210510 Icatu;225
210515 Igarapé do Meio;154
210520 Igarapé Grande;119
210530 Imperatriz;4735
210535 Itaipava do Grajaú;149
210540 Itapecuru Mirim;674
210542 Itinga do Maranhão;221
210545 Jatobá;105
210547 Jenipapo dos Vieiras;210
210550 João Lisboa;273
210560 Joselândia;173
210565 Junco do Maranhão;64
210570 Lago da Pedra;392
210580 Lago do Junco;156
210594 Lago dos Rodrigues;64
210590 Lago Verde;109
210592 Lagoa do Mato;125
210596 Lagoa Grande do Maranhão;110
210598 Lajeado Novo;48
210600 Lima Campos;173
210610 Loreto;109
210620 Luís Domingues;98
210630 Magalhães de Almeida;162
210632 Maracaçumé;153
210635 Marajá do Sena;57
210637 Maranhãozinho;111
210640 Mata Roma;172
210650 Matinha;176
210660 Matões;361
210663 Matões do Norte;161
210667 Milagres do Maranhão;63
210670 Mirador;309
210675 Miranda do Norte;344
210680 Mirinzal;126
210690 Monção;412
210700 Montes Altos;76
210710 Morros;250
210720 Nina Rodrigues;143
210725 Nova Colinas;55
210730 Nova Iorque;64
210735 Nova Olinda do Maranhão;176
210740 Olho d'Água das Cunhãs;113
210745 Olinda Nova do Maranhão;153
210750 Paço do Lumiar;771
210760 Palmeirândia;197
210770 Paraibano;215
210780 Parnarama;439
210790 Passagem Franca;231
210800 Pastos Bons;207
210805 Paulino Neves;180
210810 Paulo Ramos;149
210820 Pedreiras;711
210825 Pedro do Rosário;234
210830 Penalva;375
210840 Peri Mirim;111
210845 Peritoró;449
210850 Pindaré-Mirim;224
210860 Pinheiro;1144
210870 Pio XII;213
210880 Pirapemas;214
210890 Poção de Pedras;175
210900 Porto Franco;330
210905 Porto Rico do Maranhão;86
210910 Presidente Dutra;892
210920 Presidente Juscelino;100
210923 Presidente Médici;77
210927 Presidente Sarney;162
210930 Presidente Vargas;175
210940 Primeira Cruz;121
210945 Raposa;241
210950 Riachão;154
210955 Ribamar Fiquene;92
210960 Rosário;355
210970 Sambaíba;65
210975 Santa Filomena do Maranhão;73
210980 Santa Helena;334
210990 Santa Inês;997
211000 Santa Luzia;678
211003 Santa Luzia do Paruá;211
211010 Santa Quitéria do Maranhão;285
211020 Santa Rita;410
211023 Santana do Maranhão;101
211027 Santo Amaro do Maranhão;111
211030 Santo Antônio dos Lopes;159
211040 São Benedito do Rio Preto;212
211050 São Bento;287
211060 São Bernardo;208
211065 São Domingos do Azeitão;91
211070 São Domingos do Maranhão;321
211080 São Félix de Balsas;67
211085 São Francisco do Brejão;107
211090 São Francisco do Maranhão;137
211100 São João Batista;196
211102 São João do Carú;157
211105 São João do Paraíso;100
211107 São João do Soter;178
211110 São João dos Patos;319
211120 São José de Ribamar;1268
211125 São José dos Basílios;94
211130 São Luís;22716
211140 São Luís Gonzaga do Maranhão;195
211150 São Mateus do Maranhão;342
211153 São Pedro da Água Branca;130
211157 São Pedro dos Crentes;96
211160 São Raimundo das Mangabeiras;195
211163 São Raimundo do Doca Bezerra;80
211167 São Roberto;72
211170 São Vicente Ferrer;174
211172 Satubinha;111
211174 Senador Alexandre Costa;83
211176 Senador La Rocque;209
211178 Serrano do Maranhão;109
211180 Sítio Novo;211
211190 Sucupira do Norte;102
211195 Sucupira do Riachão;68
211200 Tasso Fragoso;111
211210 Timbiras;347
211220 Timon;1655
211223 Trizidela do Vale;174
211227 Tufilândia;90
211230 Tuntum;463
211240 Turiaçu;309
211245 Turilândia;180
211250 Tutóia;357
211260 Urbano Santos;218
211270 Vargem Grande;455
211280 Viana;495
211285 Vila Nova dos Martírios;119
211290 Vitória do Mearim;303
211300 Vitorino Freire;271
211400 Zé Doca;419
220005 Acauã;56
220010 Agricolândia;56
220020 Água Branca;233
220025 Alagoinha do Piauí;63
220027 Alegrete do Piauí;48
220030 Alto Longá;107
220040 Altos;393
220045 Alvorada do Gurguéia;53
220050 Amarante;216
220060 Angical do Piauí;107
220070 Anísio de Abreu;97
220080 Antônio Almeida;37
220090 Aroazes;62
220095 Aroeiras do Itaim;25
220100 Arraial;51
220105 Assunção do Piauí;66
220110 Avelino Lopes;123
220115 Baixa Grande do Ribeiro;108
220117 Barra D'Alcântara;43
220120 Barras;427
220130 Barreiras do Piauí;28
220140 Barro Duro;70
220150 Batalha;196
220155 Bela Vista do Piauí;44
220157 Belém do Piauí;30
220160 Beneditinos;102
220170 Bertolínia;82
220173 Betânia do Piauí;80
220177 Boa Hora;52
220180 Bocaina;53
220190 Bom Jesus;397
220191 Bom Princípio do Piauí;63
220192 Bonfim do Piauí;39
220194 Boqueirão do Piauí;55
220196 Brasileira;75
220198 Brejo do Piauí;41
220200 Buriti dos Lopes;202
220202 Buriti dos Montes;60
220205 Cabeceiras do Piauí;58
220207 Cajazeiras do Piauí;57
220208 Cajueiro da Praia;65
220209 Caldeirão Grande do Piauí;45
220210 Campinas do Piauí;50
220211 Campo Alegre do Fidalgo;34
220213 Campo Grande do Piauí;45
220217 Campo Largo do Piauí;52
220220 Campo Maior;754
220225 Canavieira;45
220230 Canto do Buriti;265
220240 Capitão de Campos;123
220245 Capitão Gervásio Oliveira;38
220250 Caracol;87
220253 Caraúbas do Piauí;51
220255 Caridade do Piauí;50
220260 Castelo do Piauí;175
220265 Caxingó;48
220270 Cocal;276
220271 Cocal de Telha;56
220272 Cocal dos Alves;61
220273 Coivaras;37
220275 Colônia do Gurguéia;67
220277 Colônia do Piauí;70
220280 Conceição do Canindé;59
220285 Coronel José Dias;34
220290 Corrente;295
220300 Cristalândia do Piauí;87
220310 Cristino Castro;117
220320 Curimatá;131
220323 Currais;34
220327 Curral Novo do Piauí;42
220325 Curralinhos;42
220330 Demerval Lobão;168
220335 Dirceu Arcoverde;66
220340 Dom Expedito Lopes;63
220345 Dom Inocêncio;82
220342 Domingos Mourão;35
220350 Elesbão Veloso;181
220360 Eliseu Martins;61
220370 Esperantina;434
220375 Fartura do Piauí;42
220380 Flores do Piauí;53
220385 Floresta do Piauí;24
220390 Floriano;1279
220400 Francinópolis;53
220410 Francisco Ayres;48
220415 Francisco Macedo;32
220420 Francisco Santos;79
220430 Fronteiras;134
220435 Geminiano;42
220440 Gilbués;119
220450 Guadalupe;156
220455 Guaribas;32
220460 Hugo Napoleão;61
220465 Ilha Grande;86
220470 Inhuma;173
220480 Ipiranga do Piauí;94
220490 Isaías Coelho;73
220500 Itainópolis;104
220510 Itaueira;137
220515 Jacobina do Piauí;50
220520 Jaicós;192
220525 Jardim do Mulato;45
220527 Jatobá do Piauí;34
220530 Jerumenha;48
220535 João Costa;38
220540 Joaquim Pires;99
220545 Joca Marques;51
220550 José de Freitas;329
220551 Juazeiro do Piauí;37
220552 Júlio Borges;64
220553 Jurema;44
220555 Lagoa Alegre;58
220557 Lagoa de São Francisco;59
220556 Lagoa do Barro do Piauí;65
220558 Lagoa do Piauí;31
220559 Lagoa do Sítio;46
220554 Lagoinha do Piauí;29
220560 Landri Sales;62
220570 Luís Correia;273
220580 Luzilândia;244
220585 Madeiro;59
220590 Manoel Emídio;74
220595 Marcolândia;85
220600 Marcos Parente;37
220605 Massapê do Piauí;51
220610 Matias Olímpio;77
220620 Miguel Alves;264
220630 Miguel Leão;31
220635 Milton Brandão;60
220640 Monsenhor Gil;102
220650 Monsenhor Hipólito;71
220660 Monte Alegre do Piauí;93
220665 Morro Cabeça no Tempo;40
220667 Morro do Chapéu do Piauí;52
220669 Murici dos Portelas;58
220670 Nazaré do Piauí;62
220672 Nazária;75
220675 Nossa Senhora de Nazaré;43
220680 Nossa Senhora dos Remédios;63
220795 Nova Santa Rita;37
220690 Novo Oriente do Piauí;70
220695 Novo Santo Antônio;32
220700 Oeiras;591
220710 Olho D'Água do Piauí;23
220720 Padre Marcos;53
220730 Paes Landim;57
220735 Pajeú do Piauí;44
220740 Palmeira do Piauí;45
220750 Palmeirais;133
220755 Paquetá;38
220760 Parnaguá;118
220770 Parnaíba;1896
220775 Passagem Franca do Piauí;38
220777 Patos do Piauí;51
220779 Pau D'Arco do Piauí;48
220780 Paulistana;382
220785 Pavussu;35
220790 Pedro II;366
220793 Pedro Laurentino;28
220800 Picos;1599
220810 Pimenteiras;116
220820 Pio IX;134
220830 Piracuruca;237
220840 Piripiri;896
220850 Porto;126
220855 Porto Alegre do Piauí;32
220860 Prata do Piauí;35
220865 Queimada Nova;69
220870 Redenção do Gurguéia;70
220880 Regeneração;212
220885 Riacho Frio;41
220887 Ribeira do Piauí;34
220890 Ribeiro Gonçalves;93
220900 Rio Grande do Piauí;68
220910 Santa Cruz do Piauí;74
220915 Santa Cruz dos Milagres;33
220920 Santa Filomena;54
220930 Santa Luz;44
220937 Santa Rosa do Piauí;52
220935 Santana do Piauí;40
220940 Santo Antônio de Lisboa;59
