MUNICIPIO;QUANTIDADE
210135 Bacurituba;8
210140 Balsas;125
210150 Barão de Grajaú;20
210160 Barra do Corda;73
210170 Barreirinhas;28
210177 Bela Vista do Maranhão;12
210173 Belágua;7
210180 Benedito Leite;5
210190 Bequimão;15
210193 Bernardo do Mearim;11
210197 Boa Vista do Gurupi;5
210200 Bom Jardim;27
210203 Bom Jesus das Selvas;25
210207 Bom Lugar;11
210210 Brejo;16
210215 Brejo de Areia;7
210220 Buriti;24
210230 Buriti Bravo;12
210232 Buriticupu;42
210235 Buritirana;11
210237 Cachoeira Grande;7
210240 Cajapió;8
210250 Cajari;13
210255 Campestre do Maranhão;10
210260 Cândido Mendes;11
210270 Cantanhede;15
210275 Capinzal do Norte;12
210280 Carolina;16
210290 Carutapera;16
210300 Caxias;121
210310 Cedral;10
210312 Central do Maranhão;6
210315 Centro do Guilherme;8
210317 Centro Novo do Maranhão;12
210320 Chapadinha;61
210325 Cidelândia;17
210330 Codó;64
210340 Coelho Neto;32
210350 Colinas;44
210355 Conceição do Lago-Açu;7
210360 Coroatá;42
210370 Cururupu;35
210375 Davinópolis;10
210380 Dom Pedro;20
210390 Duque Bacelar;12
210400 Esperantinópolis;18
210405 Estreito;26
210407 Feira Nova do Maranhão;6
210408 Fernando Falcão;9
210409 Formosa da Serra Negra;16
210410 Fortaleza dos Nogueiras;11
210420 Fortuna;11
210430 Godofredo Viana;7
210440 Gonçalves Dias;15
210450 Governador Archer;13
210455 Governador Edison Lobão;14
210460 Governador Eugênio Barros;12
210462 Governador Luiz Rocha;7
210465 Governador Newton Bello;11
210467 Governador Nunes Freire;21
210470 Graça Aranha;10
210480 Grajaú;41
210490 Guimarães;12
210500 Humberto de Campos;16
210510 Icatu;18
210515 Igarapé do Meio;15
210520 Igarapé Grande;8
210530 Imperatriz;442
210535 Itaipava do Grajaú;12
210540 Itapecuru Mirim;42
210542 Itinga do Maranhão;14
210545 Jatobá;10
210547 Jenipapo dos Vieiras;21
210550 João Lisboa;19
210560 Joselândia;17
210565 Junco do Maranhão;5
210570 Lago da Pedra;32
210580 Lago do Junco;8
210594 Lago dos Rodrigues;9
210590 Lago Verde;12
210592 Lagoa do Mato;14
210596 Lagoa Grande do Maranhão;9
210598 Lajeado Novo;6
210600 Lima Campos;16
210610 Loreto;7
210620 Luís Domingues;7
210630 Magalhães de Almeida;11
210632 Maracaçumé;11
210635 Marajá do Sena;7
210637 Maranhãozinho;9
210640 Mata Roma;28
210650 Matinha;11
210660 Matões;19
210663 Matões do Norte;10
210667 Milagres do Maranhão;7
210670 Mirador;17
210675 Miranda do Norte;16
210680 Mirinzal;18
210690 Monção;16
210700 Montes Altos;8
210710 Morros;18
210720 Nina Rodrigues;11
210725 Nova Colinas;8
210730 Nova Iorque;6
210735 Nova Olinda do Maranhão;9
210740 Olho d'Água das Cunhãs;10
210745 Olinda Nova do Maranhão;16
210750 Paço do Lumiar;41
210760 Palmeirândia;26
210770 Paraibano;21
210780 Parnarama;20
210790 Passagem Franca;21
210800 Pastos Bons;27
210805 Paulino Neves;11
210810 Paulo Ramos;9
210820 Pedreiras;41
210825 Pedro do Rosário;15
210830 Penalva;20
210840 Peri Mirim;12
210845 Peritoró;11
210850 Pindaré-Mirim;25
210860 Pinheiro;52
210870 Pio XII;16
210880 Pirapemas;16
210890 Poção de Pedras;18
210900 Porto Franco;25
210905 Porto Rico do Maranhão;6
210910 Presidente Dutra;53
210920 Presidente Juscelino;8
210923 Presidente Médici;6
210927 Presidente Sarney;13
210930 Presidente Vargas;8
210940 Primeira Cruz;13
210945 Raposa;14
210950 Riachão;11
210955 Ribamar Fiquene;9
210960 Rosário;25
210970 Sambaíba;7
210975 Santa Filomena do Maranhão;9
210980 Santa Helena;18
210990 Santa Inês;69
211000 Santa Luzia;36
211003 Santa Luzia do Paruá;15
211010 Santa Quitéria do Maranhão;16
211020 Santa Rita;33
211023 Santana do Maranhão;10
211027 Santo Amaro do Maranhão;12
211030 Santo Antônio dos Lopes;13
211040 São Benedito do Rio Preto;17
211050 São Bento;27
211060 São Bernardo;17
211065 São Domingos do Azeitão;5
211070 São Domingos do Maranhão;27
211080 São Félix de Balsas;6
211085 São Francisco do Brejão;9
211090 São Francisco do Maranhão;12
211100 São João Batista;14
211102 São João do Carú;8
211105 São João do Paraíso;11
211107 São João do Soter;20
211110 São João dos Patos;37
211120 São José de Ribamar;66
211125 São José dos Basílios;12
211130 São Luís;1205
211140 São Luís Gonzaga do Maranhão;17
211150 São Mateus do Maranhão;16
211153 São Pedro da Água Branca;10
211157 São Pedro dos Crentes;12
211160 São Raimundo das Mangabeiras;12
211163 São Raimundo do Doca Bezerra;8
211167 São Roberto;4
211170 São Vicente Ferrer;17
211172 Satubinha;10
211174 Senador Alexandre Costa;9
211176 Senador La Rocque;15
211178 Serrano do Maranhão;11
211180 Sítio Novo;14
211190 Sucupira do Norte;8
211195 Sucupira do Riachão;9
211200 Tasso Fragoso;10
211210 Timbiras;15
211220 Timon;94
211223 Trizidela do Vale;13
211227 Tufilândia;14
211230 Tuntum;34
211240 Turiaçu;20
211245 Turilândia;13
211250 Tutóia;28
211260 Urbano Santos;16
211270 Vargem Grande;23
211280 Viana;35
211285 Vila Nova dos Martírios;9
211290 Vitória do Mearim;18
211300 Vitorino Freire;23
211400 Zé Doca;26
220005 Acauã;6
220010 Agricolândia;10
220020 Água Branca;18
220025 Alagoinha do Piauí;9
220027 Alegrete do Piauí;6
220030 Alto Longá;9
220040 Altos;26
220045 Alvorada do Gurguéia;6
220050 Amarante;25
220060 Angical do Piauí;14
220070 Anísio de Abreu;6
